job_title,job_location,job_department,job_url,first_seen,base_salary,job_type,job_level,job_apply_end_date,last_seen,is_active,company,company_url,job_board,job_board_url
Senior DevOps Engineer,Jakarta Pusat,It And Engineering,https://dealls.com/role/senior-devops-engineer-2,22/08/2024 07:11:18,10000000,fullTime,N/A,,2024-08-02T03:51:33.247Z,True,PT Reka Multi Aptika,N/A,Dealls,https://dealls.com/
Costing Staff,Semarang Regency,Finance And Accounting,https://dealls.com/role/costing-staff,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-13T06:17:53.190Z,True,PT ara Shoes Indonesia,N/A,Dealls,https://dealls.com/
Technical Support,Jakarta Pusat,It And Engineering,https://dealls.com/role/technical-support-6,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-12T10:11:03.854Z,True,PT. Inovasi Anak Indonesia - PARKEE,N/A,Dealls,https://dealls.com/
SALES MANAGER B2B FNB,Jakarta Utara,Business Dev And Sales,https://dealls.com/role/sales-manager-b2b-fnb,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-02T09:46:46.451Z,True,Jaddi+,N/A,Dealls,https://dealls.com/
BRANCH MANAGER,Jakarta Utara,Admin And Ops,https://dealls.com/role/branch-manager-5,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-02T10:03:15.196Z,True,Jaddi+,N/A,Dealls,https://dealls.com/
HR Business Analyst,Jakarta,Recruiting And People,https://dealls.com/role/hr-business-analyst,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-15T05:01:10.411Z,True,Akuntplus,N/A,Dealls,https://dealls.com/
Tax and Accounting (Mandarin Speaker),Jakarta Utara,Finance And Accounting,https://dealls.com/role/tax-and-accounting-urgently-needed,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-05-29T09:57:14.745Z,True,PT. BING KREATIF MANDIRI,N/A,Dealls,https://dealls.com/
Commercial Sales Officer (Samarinda),Samarinda,N/A,https://dealls.com/role/commercial-sales-officer,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-05-15T06:49:49.485Z,True,Triputra Visi Energi (TRIVE),N/A,Dealls,https://dealls.com/
Commercial Manager,Jakarta,Business Dev And Sales,https://dealls.com/role/commercial-manager-3,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-08T07:42:44.807Z,True,Triputra Visi Energi (TRIVE),N/A,Dealls,https://dealls.com/
Sales Specialist,Surabaya,Business Dev And Sales,https://dealls.com/role/sales-specialist-19,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-23T06:50:24.626Z,True,PT Sinar Cemaramas Abadi,N/A,Dealls,https://dealls.com/
Head Marketing F&B,Bogor,Marketing And Social Media,https://dealls.com/role/head-marketing-fandb,22/08/2024 07:11:18,4000000,fullTime,N/A,,2024-08-10T04:20:38.802Z,True,Olu Grill House,N/A,Dealls,https://dealls.com/
Franchise Staff,Jakarta Utara,Business Dev And Sales,https://dealls.com/role/franchise-staff,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-23T10:51:08.047Z,True,PT. BING KREATIF MANDIRI,N/A,Dealls,https://dealls.com/
Estimator & Cost Control for BIGCON (PT. Beton Intiguna),Sidoarjo Regency,It And Engineering,https://dealls.com/role/estimator-and-cost-control-for,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-06-25T10:56:36.102Z,True,BrandPartner - Strategic Growth Consultant,N/A,Dealls,https://dealls.com/
Software Architect,Remote,It And Engineering,https://dealls.com/role/software-architect-1,22/08/2024 07:11:18,30000000,contract,N/A,,2024-08-07T08:27:51.744Z,True,PT Perintis Teknologi Internasional,N/A,Dealls,https://dealls.com/
DevOps Engineer,Jakarta Pusat,It And Engineering,https://dealls.com/role/devops-engineer-41,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-09T05:33:56.677Z,True,SG-EDTS,N/A,Dealls,https://dealls.com/
KOL Specialist,Surabaya,N/A,https://dealls.com/role/kol-specialist-for-rei-skin,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-14T09:27:23.912Z,True,BrandPartner - Strategic Growth Consultant,N/A,Dealls,https://dealls.com/
Customer Relationship Manager (Kalimantan),Balikpapan,Business Dev And Sales,https://dealls.com/role/customer-relationship-manager-kalimantan,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-31T08:12:22.248Z,True,Mondooli,N/A,Dealls,https://dealls.com/
Sales Specialist,Jakarta,Business Dev And Sales,https://dealls.com/role/sales-specialist-22,22/08/2024 07:11:18,3000000,contract,N/A,,2024-08-14T10:36:35.188Z,True,Setoko,N/A,Dealls,https://dealls.com/
GA & Legal Senior Officer,Jakarta Pusat,Admin And Ops,https://dealls.com/role/ga-and-legal-senior-officer,22/08/2024 07:11:18,8000000,fullTime,N/A,,2024-08-18T05:32:31.237Z,True,Rivindi Artha Mandiri,N/A,Dealls,https://dealls.com/
Ads Specialist,Jakarta Utara,Marketing And Social Media,https://dealls.com/role/ads-specialist-1,22/08/2024 07:11:18,5000000,fullTime,N/A,,2024-08-18T13:03:45.292Z,True,PT Samudra Retail Indonesia,N/A,Dealls,https://dealls.com/
Fundraising Officer (Bali),Tabanan Regency,Business Dev And Sales,https://dealls.com/role/fundraising-officer-bali,22/08/2024 07:11:18,3000000,contract,N/A,,2024-04-05T10:36:19.674Z,True,SOS Children's Villages Indonesia,N/A,Dealls,https://dealls.com/
Content Creator,Denpasar,Marketing And Social Media,https://dealls.com/role/content-creator-41,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-06T08:07:05.268Z,True,Kimora Jewelry,N/A,Dealls,https://dealls.com/
Sales Executive (Based In Jakarta),Jakarta Utara,Business Dev And Sales,https://dealls.com/role/sales-executive-based-in-jakarta,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-13T08:55:51.501Z,True,Astrindo Senayasa,N/A,Dealls,https://dealls.com/
ETL/SQL Developer,Jakarta Timur,It And Engineering,https://dealls.com/role/etlsql-developer,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-07T09:11:54.652Z,True,PT. Amalura Multi Dimensi,N/A,Dealls,https://dealls.com/
Senior Backend Engineer (Java),Jakarta Barat,It And Engineering,https://dealls.com/role/senior-backend-engineer-java-1,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-14T09:18:13.179Z,True,IDEKU,N/A,Dealls,https://dealls.com/
Cyber Security Engineer,Jakarta,It And Engineering,https://dealls.com/role/cyber-security-engineer-4,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-05T04:21:37.952Z,True,PT ITSEC Asia Tbk,N/A,Dealls,https://dealls.com/
Content Creator,Kediri,Marketing And Social Media,https://dealls.com/role/content-creator-43,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-12T08:11:23.854Z,True,MR BOB KAMPUNG INGGRIS,N/A,Dealls,https://dealls.com/
Telemarketing Business Operations,Jakarta Selatan,N/A,https://dealls.com/role/sales-business-operations,22/08/2024 07:11:18,N/A,contract,N/A,,2024-07-24T09:37:53.991Z,True,PT Indonesia Fintopia Technology (Easycash),N/A,Dealls,https://dealls.com/
Telemarketing Specialist,Jakarta Selatan,Business Dev And Sales,https://dealls.com/role/telemarketing-specialist,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-19T01:10:26.968Z,True,PT Indonesia Fintopia Technology (Easycash),N/A,Dealls,https://dealls.com/
Finance & Accounting SPV,Jakarta Pusat,Finance And Accounting,https://dealls.com/role/finance-and-accounting-spv-1,22/08/2024 07:11:18,5500000,fullTime,N/A,,2024-08-16T10:39:29.196Z,True,HANG TUAH,N/A,Dealls,https://dealls.com/
